id,repository_id,url,stars,commit_count,sizes,fork,release_count,release_id,repos_addr
2776,1959220,https://github.com/ened/Android-Tiling-ScrollView,241,35,6140,67,2,NULL,NULL
2777,1175852,https://github.com/pmuellr/weinre,389,140,2016,36,6,NULL,NULL
2778,3365755,https://github.com/ppareit/swiftp,386,461,5878,208,37,NULL,NULL
2779,1125934,https://github.com/akquinet/android-archetypes,452,223,1632,107,14,NULL,NULL
2780,899555,https://github.com/errai/errai,253,7697,220875,179,104,NULL,NULL
2781,3112411,https://github.com/mcMMO-Dev/mcMMO,400,4804,14500,376,43,NULL,NULL
2783,307476,https://github.com/twilio/twilio-java,294,1603,28473,263,216,NULL,NULL
2785,3104540,https://github.com/apavlo/h-store,313,5022,151920,134,12,NULL,NULL
2786,514315,https://github.com/tinkerpop/rexster,445,1579,90958,110,17,NULL,NULL
2787,1597325,https://github.com/dhanji/sitebricks,254,822,31043,66,8,NULL,NULL
2788,4150249,https://github.com/freshplanet/ANE-Facebook,224,608,1096293,131,6,NULL,NULL
2789,4716147,https://github.com/johnkil/SideNavigation,330,41,1714,154,2,NULL,NULL
2790,2767849,https://github.com/libpd/pd-for-android,283,855,24210,79,6,NULL,NULL
2791,614373,https://github.com/rawr/rawr,232,331,5186,22,1,NULL,NULL
2792,3645037,https://github.com/apereo/java-cas-client,417,646,1535,370,33,NULL,NULL
2793,2589264,https://github.com/pranab/sifarish,308,312,7876,113,0,NULL,NULL
2794,4167098,https://github.com/mirkonasato/jodconverter,394,149,504,554,0,NULL,NULL
2795,637936,https://github.com/graphstream/gs-core,264,766,9730,72,7,NULL,NULL
2796,921513,https://github.com/cscotta/Octobot,228,19,9133,29,3,NULL,NULL
2797,3398614,https://github.com/Atmosphere/nettosphere,291,693,2736,66,62,NULL,NULL
2798,2324364,https://github.com/jankotek/JDBM3,298,390,2964,89,2,NULL,NULL
2799,1994786,https://github.com/ribomation/DroidAtScreen1,375,79,1771,130,3,NULL,NULL
2800,895477,https://github.com/michel-kraemer/bson4jackson,206,263,669,67,22,NULL,NULL
2801,2553402,https://github.com/rakeshcusat/Code4Reference,211,122,25775,1310,0,NULL,NULL
2802,103213,https://github.com/RJ/irccat,272,47,2416,41,0,NULL,NULL
2803,2416378,https://github.com/johncarl81/transfuse,220,942,13609,34,35,NULL,NULL
2804,2838470,https://github.com/prefuse/Prefuse,485,33,4222,188,0,NULL,NULL
2805,4790355,https://github.com/puniverse/galaxy,307,288,7350,30,5,NULL,NULL
2806,255478,https://github.com/orbeon/orbeon-forms,357,21299,627671,191,42,NULL,NULL
2807,1493029,https://github.com/kamranzafar/JCL,356,211,6843,118,4,NULL,NULL
2808,3743376,https://github.com/DSpace/DSpace,377,9814,132685,803,93,NULL,NULL
2809,3175969,https://github.com/guardianproject/gnupg-for-android,229,782,7154,67,6,NULL,NULL
2810,3292288,https://github.com/sephiroth74/AndroidWheel,384,9,194,184,1,NULL,NULL
2811,2461344,https://github.com/rarnu/root-tools,479,903,179245,142,0,NULL,NULL
2812,1057143,https://github.com/ahorn/android-rss,485,112,110,189,1,NULL,NULL
2813,1281625,https://github.com/peichhorn/lombok-pg,252,339,4776,34,5,NULL,NULL
2814,4082827,https://github.com/julianhyde/linq4j,224,205,2270,73,10,NULL,NULL
2815,2134055,https://github.com/hunterhacker/jdom,256,1630,51198,82,14,NULL,NULL
2816,3175490,https://github.com/jsimone/webapp-runner,263,387,10125,84,69,NULL,NULL
2817,3495577,https://github.com/Maescool/Catacomb-Snatch,280,1961,127694,104,1,NULL,NULL
2818,3065190,https://github.com/gitgrimbo/android-sliding-menu-demo,376,11,191,249,0,NULL,NULL
2819,2424377,https://github.com/carrot2/carrot2,347,4787,370795,140,50,NULL,NULL
2820,1704413,https://github.com/bendemboski/DateSlider,245,11,417,110,0,NULL,NULL
2821,3708879,https://github.com/rtyley/roboguice-sherlock,353,37,228,106,6,NULL,NULL
2822,934218,https://github.com/blackberry/WebWorks,264,22,27754,53,2,NULL,NULL
2823,2037955,https://github.com/rcongiu/Hive-JSON-Serde,500,323,600,308,13,NULL,NULL
2824,2068297,https://github.com/freezy/android-xbmcremote,374,946,24023,276,3,NULL,NULL
2825,1195396,https://github.com/asterisk-java/asterisk-java,249,1693,35606,212,15,NULL,NULL
2826,1463490,https://github.com/xwiki/xwiki-platform,328,34331,326204,270,1382,NULL,NULL
2827,1045976,https://github.com/bartdag/py4j,494,715,16256,98,22,NULL,NULL
2828,3046174,https://github.com/nostra13/Android-Simple-Social-Sharing,238,62,2067,135,0,NULL,NULL
2829,2347968,https://github.com/nguillaumin/osmtracker-android,322,429,4510,183,37,NULL,NULL
2830,2737314,https://github.com/dps/nnrccar,228,32,81339,92,0,NULL,NULL
2831,4386572,https://github.com/SimonVT/android-calendarview,225,9,223,119,1,NULL,NULL
