['com.mysema.querydsl', 'querydsl-apt', '0.1.1', 'jar', None]
['com.amazonaws', 'aws-java-sdk-elastictranscoder', '1.11.210-SNAPSHOT', 'jar', None]
['org.springframework.security', 'spring-security-jwt', '1.0.2.BUILD-SNAPSHOT', 'jar', None]
['uk.gov.gchq.gaffer', 'hdfs-library', '1.1.3-SNAPSHOT', 'test-jar', None]
['org.mage', 'mage', '1.1.0', 'jar', None]
['cc.blynk.server', 'core', '0.18.1', 'jar', None]
['org.onosproject', 'onos-ospf-provider-topology', '1.10.11-b1', 'jar', None]
['org.onosproject', 'onos-app-openstackinterface-app', '1.8.1-SNAPSHOT', 'jar', None]
['org.xwiki.platform', 'xwiki-platform-rendering-signature', '10.0-SNAPSHOT', 'jar', None]
['org.eclipse.che.plugin', 'che-plugin-machine-ext-client', '5.3.0-SNAPSHOT', 'jar', None]
['org.eclipse.che.plugin', 'org.eclipse.jface.text', '4.0.0-RC6', 'jar', None]
['org.mule.transports', 'mule-transport-stdio', '2.5.0-SNAPSHOT', 'jar', None]
['com.amazonaws', 'aws-java-sdk-codepipeline', '1.11.170-SNAPSHOT', 'jar', None]
['org.onosproject', 'onos-app-tenbi-yangmodel', '1.9.0-rc5', 'jar', None]
['org.apache.felix.karaf.admin', 'org.apache.felix.karaf.admin.management', '1.6.0', 'jar', None]
['org.onosproject', 'onos-ospf-api', '1.8.3-SNAPSHOT', 'jar', None]
['ca.uhn.hapi.fhir', 'hapi-fhir-cli-jpaserver', '1.5', 'war', None]
['com.mysema.querydsl', 'querydsl-apt', '2.2.0.beta4-SNAPSHOT', 'jar', None]
['org.jvnet.hudson.main', 'hudson-war', '1.329-SNAPSHOT', 'jar', 'war-for-test']
['org.apache.activemq', 'activemq-optional', '5.2.-SNAPSHOT', 'jar', None]
['org.cryptomator', 'filesystem-inmemory', '1.1.1', 'jar', None]
['org.mule', 'mule-core', '3.0.0-RC1-SNAPSHOT', 'jar', None]
['org.jdbi', 'jdbi3-sqlobject', '3.0.0-alpha7-SNAPSHOT', 'jar', 'tests']
['org.codehaus.enunciate', 'enunciate-xfire', '1.9-RC3', 'jar', None]
['com.twitter.elephantbird', 'elephant-bird-pig', '3.0.5-SNAPSHOT', 'test-jar', None]
['com.alibaba', 'dubbo-remoting-p2p', '2.5.7', 'jar', None]
['org.eclipse.jetty.osgi', 'test-jetty-osgi-webapp', '9.4.0.v20161208', 'jar', None]
['ch.qos.logback', 'logback-core', '0.7-SNAPSHOT', 'jar', None]
['org.apache.carbondata', 'carbondata-streaming', '1.4.1-SNAPSHOT', 'jar', None]
['com.amazonaws', 'aws-java-sdk-cloudhsm', '1.11.252-SNAPSHOT', 'jar', None]
['org.eclipse.jetty.tests', 'test-web-fragment', '9.3.21.M0', 'jar', None]
['com.facebook.presto', 'presto-parser', '0.84-SNAPSHOT', 'jar', None]
['org.apache.slider', 'slider-agent', '0.81.0-incubating-SNAPSHOT', 'tar.gz', None]
['com.amazonaws', 'aws-java-sdk-medialive', '1.11.302-SNAPSHOT', 'jar', None]
['org.broadleafcommerce', 'broadleaf-profile-web', 'client-BK-5.0.2-GA-patch3-log4', 'jar', None]
['com.streamsets', 'streamsets-datacollector-hbase-protolib', '1.0.0RC1', 'jar', None]
['com.streamsets', 'streamsets-datacollector-sdc-kafka-08', '2.1.0.1', 'test-jar', None]
['org.eclipse.che.plugin', 'che-plugin-nodejs-lang-server', '5.22.0', 'jar', None]
['org.neo4j.app', 'neo4j-server', '2.3.13-SNAPSHOT', 'jar', 'test-sources']
['org.gridkit.jvmtool', 'mxdump', '0.3.6-SNAPSHOT', 'jar', None]
['com.amazonaws', 'aws-java-sdk-elasticache', '1.11.242-SNAPSHOT', 'jar', None]
['org.eclipse.che.core', 'che-core-ide-templates', '5.19.0-SNAPSHOT', 'jar', None]
['com.amazonaws', 'aws-java-sdk-gamelift', '1.11.220-SNAPSHOT', 'jar', None]
