('org.apache.nifi', 'nifi-hadoop-libraries-nar', '0.1.0-incubating', 'nar', None, '(May 11, 2015) ', 'http://mvnrepository.com/repos/central', 'nifi-hadoop-libraries-nar-0.1.0-incubating.nar')
('org.knowm.xchange', 'xchange-btcturk', '4.3.2', 'jar', None, '(Jan 02, 2018) ', 'http://mvnrepository.com/repos/central', 'xchange-btcturk-4.3.2.jar')
('org.onosproject', 'onos-incubator-api', '1.13.2-rc2', 'jar', None, '(Jul 02, 2018) ', 'http://mvnrepository.com/repos/central', 'onos-incubator-api-1.13.2-rc2.jar')
('com.intuit.karate', 'karate-netty', '0.7.0.RC2', 'jar', None, '(Jan 02, 2018) ', 'http://mvnrepository.com/repos/central', 'karate-netty-0.7.0.RC2.jar')
('org.apache.hive', 'hive-accumulo-handler', '1.0.0', 'jar', 'tests', '(Jan 30, 2015) ', 'http://mvnrepository.com/repos/central', 'hive-accumulo-handler-1.0.0.jar')
('com.xeiam.xchange', 'xchange-kraken', '2.1.0', 'jar', None, '(Oct 08, 2014) ', 'http://mvnrepository.com/repos/central', 'xchange-kraken-2.1.0.jar')
('org.eclipse.jetty.osgi', 'jetty-httpservice', '9.0.0.M1', 'jar', None, '(Oct 15, 2012) ', 'http://mvnrepository.com/repos/central', 'jetty-httpservice-9.0.0.M1.jar')
('org.languagetool', 'language-pl', '2.5', 'jar', None, '(Mar 31, 2014) ', 'http://mvnrepository.com/repos/central', 'language-pl-2.5.jar')
('io.zipkin.java', 'zipkin-autoconfigure-collector-scribe', '1.23.1', 'jar', None, '(Apr 21, 2017) ', 'http://mvnrepository.com/repos/central', 'zipkin-autoconfigure-collector-scribe-1.23.1.jar')
('com.amazonaws', 'aws-java-sdk-core', '1.10.69', 'jar', None, '(Apr 11, 2016) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-core-1.10.69.jar')
('org.kill-bill.commons', 'killbill-embeddeddb-h2', '0.20', 'jar', None, '(Oct 10, 2016) ', 'http://mvnrepository.com/repos/central', 'killbill-embeddeddb-h2-0.20.jar')
('org.apache.derby', 'derbyclient', '10.5.3.0_1', 'jar', None, '(Oct 07, 2009) ', 'http://mvnrepository.com/repos/central', 'derbyclient-10.5.3.0_1.jar')
('io.prometheus', 'simpleclient_common', '0.0.21', 'jar', None, '(Feb 20, 2017) ', 'http://mvnrepository.com/repos/central', 'simpleclient_common-0.0.21.jar')
