[351333, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.32-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 13, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.32-1']
[351330, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.35-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 14, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.35-2']
[351331, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.34-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 14, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.34-1']
[351427, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.75-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 14, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.75-1']
[351536, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.1.2.3.2.46-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 14, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.1.2.3.2.46-1']
[351686, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.2.1.2.2.4.42-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 14, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.2.1.2.2.4.42-2']
[351032, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.1.48-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 16, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.1.48-1']
[351034, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.1.45-4', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 16, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.1.45-4']
[351035, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.1.43-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 16, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.1.43-2']
[350955, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.2.15-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 18, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.2.15-1']
[350957, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.2.13-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 18, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.2.13-1']
[350958, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.2.12-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 18, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.2.12-2']
[350959, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.2.11-3', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 18, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.2.11-3']
[350960, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.2.11-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 18, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.2.11-2']
[351030, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.1.50-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 18, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.1.50-1']
[351031, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.1.49-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 18, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.1.49-2']
[351286, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.3.3-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 20, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.3.3-2']
[351327, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.38-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 20, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.38-1']
[351328, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.37-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 20, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.37-1']
[351595, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.4.1.2.3.2.3-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 21, 2015) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.4.1.2.3.2.3-2']
[351596, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.4.1.2.3.2.2-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 21, 2015) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.4.1.2.3.2.2-1']
[351702, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.2.1.2.2.4.24-4', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 21, 2015) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.2.1.2.2.4.24-4']
[351329, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.36-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 21, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.36-1']
[351369, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.1.2.3.5.3-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 21, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.1.2.3.5.3-2']
